OID_,epafacilityid,epafacilityid_str,lastoffacilityname,lastofparentcompanyname,maxofreceiptdate,lastoffacilityduns,lastoffacilitystr1,lastoffacilitystr2,lastoffacilitycity,lastoffacilitystate,lastoffacilityzipcode,lastofcounty_name,firstofnaicscode,firstofnaics_description,latitude,longitude,lastofhorizontalrefdatumcode,lastoflatlongdescription,feat_desc,lastoffte,oshapsm,epcra302,caa_titlev,clearairoppermitid,lastofsafetyinspectiondate,lastofsafetyinspectionby,deregistrationdate,deregistrationreasoncode,safety_rating
7552,1E+11,EPA100000040494,"MTC Logistics, Inc.","Hoffberger Holdings, Inc.",25-Apr-19,0,7950 Oceano Avenue,,Jessup,MD,20794,HOWARD,49312,Refrigerated Warehousing and Storage,39.157223,-76.785835,2,PG,Plant Entrance (General),38,1,1,0,,17-Apr-14,Traveler's Insurance Company,,,1
7621,1E+11,EPA100000041741,City of Richmond Wastewater Treatment Plant,City of Richmond,1-Jul-09,31713936,1400 Brander Street,,Richmond,VA,23224,RICHMOND (CITY),22132,Sewage Treatment Facilities,37.519608,-77.422806,2,AB,Administrative Building,120,1,1,0,,16-Oct-08,OSHA,22-Apr-14,2,2
7624,1E+11,EPA100000041812,City of Richmond Water Treatment Plant,City of Richmond,3-Apr-09,111833443,3920 Douglasdale Road,,Richmond,VA,23221,RICHMOND (CITY),22131,Water Supply and Irrigation Systems,37.544449,-77.499771,2,ST,Storage Tank,65,1,1,0,,26-May-04,Fire Department,1-Feb-11,2,3
7637,1E+11,EPA100000042152,MOT Water Farm No. 1,New Castle County,10-Jun-04,0,Route 424,,Odessa,DE,19730,NEW CASTLE,22132,Sewage Treatment Facilities,39.450558,-75.639999,2,CE,Center of Facility,5,0,0,0,,12-Sep-01,New Castle LEPC,5-Apr-07,2,1
7711,1E+11,EPA100000043865,Buitoni Food Company,Buitoni Food Company,24-Sep-19,117580534,201 Airside Drive,,Danville,VA,24540,PITTSYLVANIA,311991,Perishable Prepared Food Manufacturing,36.573242,-79.311111,2,PG,Plant Entrance (General),594,1,1,0,,14-Jun-19,OSHA,,,1
7751,1E+11,EPA100000044588,Hyosung USA Inc Scottsville Plant,,8-Jun-09,3127933,800 Bird Street,,Scottsville,VA,24590,ALBEMARLE,314992,Tire Cord and Tire Fabric Mills,37.799484,-78.495567,2,PG,Plant Entrance (General),98,1,1,0,,4-May-05,EPA,23-May-14,4,2
7811,1E+11,EPA100000045943,"Tanner Industries, Inc.","Tanner Industries, Inc.",5-Jun-19,0,Chesapeake Industrial Park,1750 Clark Road,Havre de Grace,MD,21078,HARFORD,42469,Other Chemical and Allied Products Merchant Wholesalers,39.532223,-76.111115,2,CE,Center of Facility,3,1,1,0,,13-Nov-18,FRA,,,2
7817,1E+11,EPA100000046032,"DanChem Technologies, Inc.","DanChem Technologies, Inc.",7-Dec-17,607417441,1975 Old Richmond Road,,Danville,VA,24540,PITTSYLVANIA,32599,All Other Chemical Product and Preparation Manufacturing,36.608891,-79.364166,2,PG,Plant Entrance (General),114,1,1,0,,8-Nov-16,EPA,,,4
7849,1E+11,EPA100000046719,"Boehringer Ingelheim Chemicals, Inc.",Boehringer Ingelheim Corporation,19-Dec-12,93561652,2820 North Normandy Drive,,Petersburg,VA,23805,PETERSBURG (CITY),32541,Pharmaceutical and Medicine Manufacturing,37.189167,-77.348335,2,CE,Center of Facility,335,1,1,0,,18-Oct-07,OSHA,3-Sep-14,1,1
7906,1E+11,EPA100000048085,"Praxair Distribution - Jessup, MD","Praxair, Inc.",24-Sep-18,808461896,8025 Dorsey Run Road,,Jessup,MD,20794,HOWARD,32512,Industrial Gas Manufacturing,39.14957,-76.786926,2,PG,Plant Entrance (General),46,1,1,0,,21-Mar-12,Fire Department,,,2
8088,1E+11,EPA100000051454,"Tyson Farms, Inc.- Temperanceville, VA","Tyson Foods, Inc.",9-Apr-18,0,11224 LANKFORD HWY.,PO BOX 8,TEMPERANCEVILLE,VA,23442,ACCOMACK,311615,Poultry Processing,37.884998,-75.555275,2,PG,Plant Entrance (General),1300,1,1,1,VA40333,14-Aug-17,Marsh Insurance Audit,,,1
8099,1E+11,EPA100000051604,"The LYCRA Company LLC, Waynesboro",The LYCRA Company LLC,4-Jan-19,10063600,400 Dupont Blvd.,N/A,Waynesboro,VA,22980,AUGUSTA,32522,Artificial and Synthetic Fibers and Filaments Manufacturing,38.061111,-78.883331,2,PG,Plant Entrance (General),423,0,1,1,VR080517,28-Nov-18,Fire Department,,,2
8106,1E+11,EPA100000051739,"George's Food LLC. , HARRISONBURG, VA.",George's Food LLC,17-May-21,804587004,501 N. LIBERTY ST.,,HARRISONBURG,VA,22802,ROCKINGHAM,311615,Poultry Processing,38.455704,-78.868904,2,PG,Plant Entrance (General),575,1,1,0,,18-Dec-13,EPA,,,4
8112,1E+11,EPA100000051882,"TYSON FARMS, INC., GLEN ALLEN, VA.","TYSON FARMS, INC.",23-May-19,46253019,13264 MOUNTAIN RD.,,GLEN ALLEN,VA,23059,HANOVER,311615,Poultry Processing,37.697224,-77.552498,2,PG,Plant Entrance (General),600,1,1,0,,18-Jun-18,Insurance Underwriter on behalf of State OSHA,,,3
8152,1E+11,EPA100000052596,Druid Lake Chlorinator Stations,City of Baltimore - Department of Public Works,20-Sep-19,0,2700 East Drive,,Baltimore,MD,21211,BALTIMORE,22131,Water Supply and Irrigation Systems,39.32,-76.631386,2,CE,Center of Facility,0,1,1,0,,,Never had one,,,2
8154,1E+11,EPA100000052621,Montebello Filtration Plant,City of Baltimore - Department of Public Works,20-Sep-19,0,3901 Hillen Road,,Baltimore,MD,21218,BALTIMORE,22131,Water Supply and Irrigation Systems,39.336666,-76.584442,2,CE,Center of Facility,90,1,1,0,,15-Nov-12,EPA,,,1
8159,1E+11,EPA100000052729,Catonsville Water Pumping Station,City of Baltimore - Department of Public Works,27-Jun-09,0,1946 Powers Lane,,Catonsville,MD,21228,BALTIMORE,22131,Water Supply and Irrigation Systems,39.285831,-76.75528,2,OT,Other,0,1,1,0,,,Never had one,17-Oct-11,1,3
8183,1E+11,EPA100000053256,Ashburton Chlorinator Station,City of Baltimore - Department of Public Works,20-Sep-19,0,2777 North Longwood Street,,Baltimore,MD,21216,BALTIMORE,22131,Water Supply and Irrigation Systems,39.318611,-76.667221,2,CE,Center of Facility,0,1,1,0,,,Never had one,,,2
8184,1E+11,EPA100000053265,"United States Cold Storage, Milford","United States Cold Storage, Inc.",6-Jun-19,12338240,419 Milford Harrington Hwy,,Milford,DE,19963,KENT,49312,Refrigerated Warehousing and Storage,38.921112,-75.451668,2,PG,Plant Entrance (General),25,1,1,0,,28-Mar-18,State environmental agency,,,1
8191,1E+11,EPA100000053372,Fullerton Chlorinator Station,City of Baltimore - Department of Public Works,27-Jun-09,0,7810 Perry Hall Boulevard,,Baltimore,MD,21237,BALTIMORE,22131,Water Supply and Irrigation Systems,39.361111,-76.497223,2,CE,Center of Facility,0,1,1,0,,25-Apr-02,EPA,17-Oct-11,1,1
8195,1E+11,EPA100000053434,Towson Chlorinator Station,City of Baltimore - Department of Public Works,27-Jun-09,0,401 Hillen Road,,Towson,MD,21204,BALTIMORE,22131,Water Supply and Irrigation Systems,39.39389,-76.591393,2,CE,Center of Facility,0,1,1,0,,24-Apr-02,EPA,26-Jun-14,1,3
8199,1E+11,EPA100000053513,Pikesville Chlorinator Station,City of Baltimore - Department of Public Works,27-Jun-09,0,1707 Reisterstown Road,,Pikesville,MD,21208,BALTIMORE,22131,Water Supply and Irrigation Systems,39.384998,-76.729164,2,CE,Center of Facility,0,1,1,0,,,Never had one,13-Oct-11,1,2
8205,1E+11,EPA100000053595,Back River Wastewater Treatment Facility,,21-Jun-04,0,8201 Eastern Boulevard,,Baltimore,MD,21224,BALTIMORE,22132,Sewage Treatment Facilities,39.291637,-76.473083,2,CE,Center of Facility,369,1,1,1,24-005-00812,6-Apr-03,EPA,14-Dec-06,2,3
8206,1E+11,EPA100000053648,Guilford Chlorinator Station,City of Baltimore - Department of Public Works,27-Jun-14,0,4428 Underwood Road,,Baltimore,MD,21218,BALTIMORE,22131,Water Supply and Irrigation Systems,39.343613,-76.613892,2,OT,Other,0,0,0,0,,,Never had one,22-Oct-19,1,1
8220,1E+11,EPA100000053899,Patapsco Wastewater Treatment Facility,,2-Mar-15,0,3501 Asiatic Avenue,,Baltimore,MD,21226,BALTIMORE CITY,22132,Sewage Treatment Facilities,39.235001,-76.556664,2,CE,Center of Facility,169,1,1,0,,16-Nov-07,Baltimore City Department of Safety,31-May-16,2,2
8221,1E+11,EPA100000053915,"USALCO Baltimore Plant, LLC","USALCO, LLC",21-Jul-14,3068228,2601 Cannery Avenue,,Baltimore,MD,21226,BALTIMORE CITY,325199,All Other Basic Organic Chemical Manufacturing,39.23053,-76.563629,2,CE,Center of Facility,80,1,1,0,,10-Dec-08,EPA,12-Dec-16,3,1
8233,1E+11,EPA100000054184,Mays Chapel Chlorinator Station,City of Baltimore - Department of Public Works,27-Jun-09,0,11709 Jenifer Road,,Timonium,MD,21093,BALTIMORE,22131,Water Supply and Irrigation Systems,39.447498,-76.649719,2,CE,Center of Facility,0,1,1,0,,,Never had one,13-Oct-11,1,2
8275,1E+11,EPA100000055021,"Conagra Packaged Foods, LLC - Hagerstown, MD","Conagra Foods Packaged Foods, LLC",18-Sep-19,965953359,1200 Frederick Street,,Hagerstown,MD,21740,WASHINGTON,311412,Frozen Specialty Food Manufacturing,39.617977,-77.710426,2,ST,Storage Tank,159,1,1,0,,30-Aug-19,Fire Department,,,5
8323,1E+11,EPA100000056066,"Perdue Farms Incorporated, Bridgewater Facility",Perdue Farms Incorporated,30-Apr-19,139297006,100 Quality St.,,Bridgewater,VA,22812,ROCKINGHAM,311615,Poultry Processing,38.388611,-78.96917,2,OT,Other,533,1,1,0,,31-Mar-15,State occupational safety agency,,,4
8540,1E+11,EPA100000060275,Town of Selbyville Wastewater Treatment Facility,Town of Selbyville,12-Jun-19,0,37619 Wastewater LN,P.O. Box 106,Selbyville,DE,19975,SUSSEX,22132,Sewage Treatment Facilities,38.471333,-75.218498,2,PG,Plant Entrance (General),4,0,1,0,,22-Mar-18,Fire Department,,,1
8574,1E+11,EPA100000060934,"ActivAir, Inc",,11-Feb-13,969789747,105 Park Avenue,,Seaford,DE,19973,SUSSEX,32599,All Other Chemical Product and Preparation Manufacturing,38.655277,-75.62278,2,PG,Plant Entrance (General),7,0,1,0,,17-Sep-12,EPA,12-Mar-18,3,1
8581,1E+11,EPA100000061032,Perryville Wastewater Treatment Plant,Town of Perryville,1-Jun-09,0,72 Ikea Way,,Perryville,MD,21903,CECIL,22132,Sewage Treatment Facilities,39.558887,-76.064445,2,CE,Center of Facility,3,1,1,0,,16-Sep-08,State occupational safety agency,12-May-14,2,2
8588,1E+11,EPA100000061238,Havre de Grace Wastewater Treatment Facility,City of Havre de Grace,23-Nov-04,965621592,1 Jerry Foster Way,,Havre de Grace,MD,21078,HARFORD,22132,Sewage Treatment Facilities,39.531387,-76.09861,2,PU,Process Unit,10,1,1,0,,1-Oct-96,State occupational safety agency,4-Nov-09,1,1
8613,1E+11,EPA100000061675,Lynchburg Regional Wastewater Treatment Facility,City of Lynchburg,30-Jun-05,0,2301 Concord Turnpike,,Lynchburg,VA,24504,CAMPBELL,22132,Sewage Treatment Facilities,37.396252,-79.113724,2,CE,Center of Facility,30,1,1,0,,23-May-05,State occupational safety agency,24-Mar-09,1,3
8628,1E+11,EPA100000061915,"Airgas Specialty Products Inc., Suffolk, VA",Airgas Inc.,15-Mar-19,0,105 Dill Road,,Suffolk,VA,23434,SUFFOLK (CITY),42469,Other Chemical and Allied Products Merchant Wholesalers,36.710411,-76.591782,2,CE,Center of Facility,4,1,1,0,,25-Oct-17,EPA,,,2
8630,1E+11,EPA100000061988,Abert Water Treatment Plant,City of Lynchburg,27-Dec-04,0,2500 Abert Road,,Lynchburg,VA,24503,BEDFORD,22131,Water Supply and Irrigation Systems,37.492973,-79.232941,2,CE,Center of Facility,22,1,1,0,,,Never had one,14-Sep-07,2,3
8634,1E+11,EPA100000062022,FMC Corporation Agricultural Products Group,FMC Corporation,29-Sep-06,3071875,1701 East Patapsco Avenue,,Baltimore,MD,21226,BALTIMORE,32532,Pesticide and Other Agricultural Chemical Manufacturing,39.229168,-76.577782,2,CE,Center of Facility,128,1,1,1,24-510-00073,14-Jan-03,EPA,3-Jun-08,3,1
8655,1E+11,EPA100000062497,Otter River Water Treatment Plant,Campbell County Utilities and Service Authority,19-Apr-19,0,9625 Leesville Road (SR 682),,Evington,VA,24550,CAMPBELL,22131,Water Supply and Irrigation Systems,37.210472,-79.299469,2,CE,Center of Facility,5,1,1,0,,21-Mar-19,State environmental agency,,,1
8660,1E+11,EPA100000062567,Target Food Distribution Center T3881,,14-Jun-19,0,U.S. Route 301 & Leeland Road,,Upper Marlboro,MD,20774,PRINCE GEORGE'S,49312,Refrigerated Warehousing and Storage,38.866108,-76.728813,2,ST,Storage Tank,10,1,1,0,,8-Mar-19,Prince George County DOE,,,1
8722,1E+11,EPA100000063888,Ashland Inc.,Ashland Inc.,12-May-09,3067832,329 West Main Street,,Elkton,MD,21921,CECIL,325211,Plastics Material and Resin Manufacturing,39.606388,-75.842224,2,AB,Administrative Building,38,1,1,0,,13-Dec-06,EPA,24-Jan-13,3,2
8735,1E+11,EPA100000064093,DEFENSE SUPPLY CENTER RICHMOND,DEFENSE LOGISTICS AGENCY,9-Jun-19,0,8000 Jefferson Davis Highway,,Richmond,VA,23297,CHESTERFIELD,92811,National Security,37.414833,-77.435837,2,PG,Plant Entrance (General),3000,1,1,0,,12-Oct-16,Defense Logistics Agency,,,3
8748,1E+11,EPA100000064459,Solenis LLC,Solenis LLC,6-May-19,79436434,2301 Wilroy Road,,Suffolk,VA,23434,SUFFOLK (CITY),325199,All Other Basic Organic Chemical Manufacturing,36.777359,-76.543213,2,PC,Process Unit Area Centroid,100,1,1,0,,16-May-16,OSHA,,,4
8779,1E+11,EPA100000065127,"C&S Wholesale Grocers, Inc. - North East, MD","C&S Wholesale Grocers, Inc.",17-Apr-17,0,100 Lums Road,,North East,MD,21901,CECIL,49312,Refrigerated Warehousing and Storage,39.624195,-75.951218,2,CE,Center of Facility,5,1,1,0,,21-Nov-16,EPA,,,2
8824,1E+11,EPA100000066126,C&S Harrington RE LLC,"C&S Wholesale Grocers, Inc.",16-Oct-17,0,111 Reese Avenue,,Harrington,DE,19952,KENT,42442,Packaged Frozen Food Merchant Wholesalers,38.917747,-75.578598,2,ST,Storage Tank,146,1,1,0,,29-Mar-17,State environmental agency,,,1
8831,1E+11,EPA100000066288,Fort Detrick,US Army,29-Oct-20,0,1930 North Market Street,,Frederick,MD,21701,FREDERICK,22131,Water Supply and Irrigation Systems,39.44389,-77.39222,2,PU,Process Unit,3,1,1,1,24-021-00131,11-Jun-20,Fire Department,,,1
8837,1E+11,EPA100000066402,SICPA Securink Corporation,,13-Sep-19,146625272,8000 Research Way,,Springfield,VA,22153,FAIRFAX,32591,Printing Ink Manufacturing,38.739807,-77.205086,2,PG,Plant Entrance (General),60,0,1,0,,23-Apr-14,HazMat Team of Fire Department connected to LEPC,,,1
8855,1E+11,EPA100000066803,Galax Wastewater Treatment Facility,City of Galax,22-Sep-19,0,668 Stockyard Road,,Galax,VA,24333,CARROLL,22132,Sewage Treatment Facilities,36.671101,-80.933296,2,PP,Plant Entrance (Personnel),8,1,1,0,,22-Aug-12,OSHA,,,5
8892,1E+11,EPA100000067474,Water Treatment Facility,Town of Culpeper,31-Mar-10,832212919,816 Woodview Road,,Culpeper,VA,22701,CULPEPER,22131,Water Supply and Irrigation Systems,38.468056,-77.981941,2,CE,Center of Facility,5,1,0,0,,30-Mar-04,State environmental agency,26-Dec-12,1,2
8896,1E+11,EPA100000067526,Hopewell Water Treatment Plant,Virginia-American Water Company,26-Oct-18,42196196,900 Industrial Street,,Hopewell,VA,23860,HOPEWELL (CITY),22131,Water Supply and Irrigation Systems,37.30061,-77.278419,2,CE,Center of Facility,35,1,1,0,,21-Sep-18,Fire Department,,,1
8904,1E+11,EPA100000067642,The Sherwin-Williams Company-Havre de Grace,The Sherwin-Williams Company,15-Jun-04,0,1354 Old Post Road,,Havre de Grace,MD,21078,HARFORD,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,39.537224,-76.110275,2,FC,Facility Centroid,34,0,0,0,,15-Dec-98,State environmental agency,8-Apr-09,4,5
8906,1E+11,EPA100000067722,Montgomery County Resource Recovery Facility,"Covanta Montgomery, Inc.",12-Jun-09,0,21204 Martinsburg Road,,Dickerson,MD,20842,MONTGOMERY,562213,Solid Waste Combustors and Incinerators,39.207081,-77.469612,2,CE,Center of Facility,64,1,1,1,24-031-01718,7-Nov-05,State occupational safety agency,18-Dec-09,2,1
8959,1E+11,EPA100000068678,Water Pollution Control Facility,Town of Culpeper,7-Apr-05,0,15108 Service Road,,Culpeper,VA,22701,CULPEPER,22132,Sewage Treatment Facilities,38.481945,-78.00972,2,CE,Center of Facility,9,1,0,0,,15-Jul-88,State environmental agency,4-Dec-09,2,1
8979,1E+11,EPA100000069016,Maryland Correctional Facility WWTF,State of Maryland,10-Feb-14,0,18901 Roxbury Road,,Hagerstown,MD,21740,WASHINGTON,22132,Sewage Treatment Facilities,39.555832,-77.708885,2,CE,Center of Facility,11,1,1,0,,21-Feb-07,EPA,13-May-16,4,1
9040,1E+11,EPA100000070399,"FAIRFAX COUNTY WATER AUTHORITY - OCCOQUAN, WTP",FAIRFAX COUNTY WATER AUTHORITY,20-Jan-05,0,411 MILL STREET,,OCCOQUAN,VA,22192,PRINCE WILLIAM,22131,Water Supply and Irrigation Systems,38.685833,-77.263885,2,CE,Center of Facility,20,1,0,1,,7-Dec-01,State environmental agency,13-Dec-07,3,2
9054,1E+11,EPA100000070683,"FAIRFAX COUNTY WATER AUTHORITY - LORTON, WTP",FAIRFAX COUNTY WATER AUTHORITY,20-Jan-05,0,9800 OX ROAD,,LORTON,VA,22079,FAIRFAX,22131,Water Supply and Irrigation Systems,38.689999,-77.258331,2,CE,Center of Facility,20,1,0,1,,16-May-01,OSHA,13-Dec-07,3,1
9064,1E+11,EPA100000070843,FAIRFAX COUNTY WATER AUTHORITY - JAMES J. CORBALIS,FAIRFAX COUNTY WATER AUTHORITY,20-Jan-05,20300885,12010 Dick Wright Street,,HERNDON,VA,20170,FAIRFAX,22131,Water Supply and Irrigation Systems,38.99472,-77.360275,2,CE,Center of Facility,80,1,0,1,Reg. #71872,15-Jul-04,OSHA,6-May-09,2,1
9068,1E+11,EPA100000070941,Cambridge WWTF,City of Cambridge,18-Jun-04,77406726,1010 Roslyn Avenue,,Cambridge,MD,21613,DORCHESTER,22132,Sewage Treatment Facilities,38.564167,-76.05722,2,CE,Center of Facility,9,1,1,0,,,Never had one,18-Apr-07,2,3
9176,1E+11,EPA100000072841,"Delaware City Refining Company, LLC","PBF Holding Company, LLC",26-Apr-19,962406281,4550 Wrangle Hill Road,,Delaware City,DE,19706,NEW CASTLE,32411,Petroleum Refineries,39.586666,-75.629723,2,CE,Center of Facility,546,1,1,1,AQM-003/00016,30-Jul-18,State environmental agency,,,2
9205,1E+11,EPA100000073305,West Point Mill,"WestRock CP, LLC",13-Feb-18,79878374,1901 Main Street,,West Point,VA,23181,KING WILLIAM,32211,Pulp Mills,37.539169,-76.805283,2,CE,Center of Facility,567,1,1,1,40126,2-Dec-16,OSHA,,,1
9214,1E+11,EPA100000073494,"Carpenter Co., Richmond Plant",Carpenter Co.,20-May-19,121829725,2400 Jefferson Davis Hwy.,,Richmond,VA,23234,RICHMOND (CITY),32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,37.489445,-77.445831,2,NE,NE Corner of Land Parcel,78,0,1,0,,17-Oct-12,State occupational safety agency,,,1
9289,1E+11,EPA100000074821,"G. Robert House, Jr., Water Treatment Facility","City of Suffolk, Department of Public Utilities",21-Jun-04,0,"1 Bob House Parkway, Chuckatuck",,Suffolk,VA,23432,SUFFOLK (CITY),22131,Water Supply and Irrigation Systems,36.863888,-76.573059,2,FC,Facility Centroid,24,1,1,0,,28-Oct-98,State occupational safety agency,26-Jun-09,2,1
9370,1E+11,EPA100000076641,College Hill Water Treatment Plant,City of Lynchburg,27-Dec-04,0,525 Taylor Street,,Lynchburg,VA,24501,CAMPBELL,22131,Water Supply and Irrigation Systems,37.412056,-79.154305,2,CE,Center of Facility,65,1,1,0,,,Never had one,14-Sep-07,2,1
9390,1E+11,EPA100000077105,U. S. Amines - Portsmouth Plant,U. S. Amines Limited,2-Jun-18,128489148,3230 West Norfolk Road,,Portsmouth,VA,23703,PORTSMOUTH (CITY),325199,All Other Basic Organic Chemical Manufacturing,36.861084,-76.344734,2,PG,Plant Entrance (General),20,1,1,0,,20-Jul-17,Virginia Occupational Safety and Health,,,2
9411,1E+11,EPA100000077579,"Aearo Technologies, LLC",3M,19-Apr-18,615239571,650 Dawson Drive,,Newark,DE,19713,NEW CASTLE,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,39.649445,-75.731941,2,PG,Plant Entrance (General),104,0,1,1,AQM-003/00073R4,19-Feb-18,State environmental agency,,,1
9439,1E+11,EPA100000078113,"RG Steel Sparrows Point, LLC",,4-Aug-11,808561372,1430 Sparrows Point Boulevard,,Baltimore,MD,21219,BALTIMORE,331111,Iron and Steel Mills,39.219612,-76.471214,2,AB,Administrative Building,2300,0,0,1,24-005-00147A,10-Feb-11,State occupational safety agency,10-Aug-15,3,1
9481,1E+11,EPA100000078907,Percy D. Miller Winchester Water Treatment Plant,"City of Winchester Virginia, Public Utilities",11-Jun-09,0,32 Pence Road,,Middletown,VA,22649,WARREN,22131,Water Supply and Irrigation Systems,38.99889,-78.290001,2,CE,Center of Facility,11,0,0,0,,1-Apr-03,State occupational safety agency,6-Jan-10,2,2
9568,1E+11,EPA100000080556,Harwood's Mill Water Treatment Plant,,18-Jun-14,0,3629 Route 17,,Grafton,VA,23692,YORK,22131,Water Supply and Irrigation Systems,37.133873,-76.458572,2,OT,Other,28,1,1,0,,9-Mar-11,EPA,13-Apr-15,2,1
9572,1E+11,EPA100000080618,Lee Hall Water Treatment Plant,City of Newport News Waterworks,14-Oct-04,0,421 Waterworks Way,,Newport News,VA,23608,NEWPORT NEWS (CITY),22131,Water Supply and Irrigation Systems,37.169014,-76.55658,2,OT,Other,19,1,1,0,,8-May-97,EPA,3-Apr-06,2,1
9694,1E+11,EPA100000083045,Dow Reichhold Specialty Latex LLC,"Reichhold, Inc.",21-Jun-04,11001476,144 Fork Branch Road,,Dover,DE,19904,KENT,325211,Plastics Material and Resin Manufacturing,39.201668,-75.568611,2,CE,Center of Facility,116,1,1,1,AQM-001/00016,22-May-03,LEPC,29-Dec-08,3,1
9742,1E+11,EPA100000084026,"Indian Head Division, Naval Surface Warfare Center",Department of the Navy,22-Jun-04,24185717,101 Strauss Ave,,Indian Head,MD,20640,CHARLES,49319,Other Warehousing and Storage,38.566666,-77.183334,2,ST,Storage Tank,3000,1,1,1,,4-Mar-04,Navy Inspector General,18-Jan-08,4,1
9902,1E+11,EPA100000087185,City of Salisbury Wastewater Treatment Plant,,28-Mar-14,0,1142 Marine Road,,Salisbury,MD,21801,WICOMICO,22132,Sewage Treatment Facilities,38.356945,-75.625,2,CE,Center of Facility,32,1,1,1,n/a,8-Sep-11,State occupational safety agency,13-Feb-19,2,3
9959,1E+11,EPA100000088166,Honeywell - Delaware Plant,Honeywell International Inc.,29-Jun-18,54717939,6100 Philadelphia Pike,,Claymont,DE,19703,NEW CASTLE,32518,Other Basic Inorganic Chemical Manufacturing,39.811615,-75.434746,2,AB,Administrative Building,33,1,1,0,,10-Jan-17,State environmental agency,26-Jun-20,3,4
9981,1E+11,EPA100000088558,Verso Luke LLC,Verso Corporation,16-May-17,197533446,300 Pratt Street,,Luke,MD,21540,ALLEGANY,322121,Paper (except Newsprint) Mills,39.473305,-79.055527,2,AB,Administrative Building,750,1,1,1,24-001-00011,18-Apr-12,EPA,,,2
10034,1E+11,EPA100000089539,"Occidental Chemical Corp., Delaware City Plant",Occidental Petroleum Corp.,21-Jun-04,3913266,1657 River Road,,New Castle,DE,19720,NEW CASTLE,325181,Alkalies and Chlorine Manufacturing,39.599998,-75.62944,2,OT,Other,89,1,1,1,AQM-003/00030,1-Dec-99,OSHA,3-Jan-08,1,1
10108,1E+11,EPA100000091161,"Worton, MD 754",Crop Production Services,11-Jun-14,102412244,25311 Chinquapin Road,,Worton,MD,21678,KENT,42491,Farm Supplies Merchant Wholesalers,39.26186,-76.09079,2,CE,Center of Facility,7,0,1,0,,6-Oct-09,Fire Department,20-Oct-15,2,1
10181,1E+11,EPA100000092785,Veolia James River Plant,"Veolia North America Regeneration Services, L.L.C",29-May-19,0,1201 BELLWOOD ROAD,,Richmond,VA,23237,CHESTERFIELD,32518,Other Basic Inorganic Chemical Manufacturing,37.416943,-77.40889,2,CE,Center of Facility,35,0,1,1,50554,20-Sep-18,State environmental agency,,,2
10189,1E+11,EPA100000092918,International Paper,International Paper,5-May-17,3112265,34040 Union Camp Drive,,Franklin,VA,23851,ISLE OF WIGHT,32211,Pulp Mills,36.680279,-76.912781,2,PU,Process Unit,266,1,0,1,51-093-00006,20-Jul-17,OSHA,,,5
10208,1E+11,EPA100000093276,"Clean Harbors of Baltimore, Inc.","Clean Harbors, Inc.",17-Dec-20,0,1910 Russell Street,,Baltimore,MD,21230,BALTIMORE CITY,562211,Hazardous Waste Treatment and Disposal,39.271667,-76.655952,2,CE,Center of Facility,22,0,1,0,,15-Apr-15,State occupational safety agency,,,4
10279,1E+11,EPA100000094854,Unilever,"Conopco, Inc.",27-Dec-13,1378892,3701 Southwestern Boulevard,,Baltimore,MD,21229,BALTIMORE CITY,311225,Fats and Oils Refining and Blending,39.269054,-76.683167,2,PG,Plant Entrance (General),152,1,1,0,,1-Nov-13,ERM Safety and Environmental Compliance Audit,12-Feb-19,3,2
10409,1E+11,EPA100000097218,"Centreville, MD 755",Nutrien Ag Solutions,8-Mar-21,102412244,1003 Hope Road,,Centreville,MD,21617,QUEEN ANNE'S,42491,Farm Supplies Merchant Wholesalers,39.048496,-76.004562,2,ST,Storage Tank,19,0,1,0,,20-Jan-20,Fire Department,,,1
10453,1E+11,EPA100000097968,Mountaire Farms of Delaware Inc.,"Mountaire Corporation, Inc.",28-Jun-21,6343958,29005 John J. Williams Hwy Rt 24 E.,,Millsboro,DE,19966,SUSSEX,311615,Poultry Processing,38.601082,-75.26136,2,CE,Center of Facility,2300,1,1,1,AQM-005/00004,24-Oct-17,State environmental agency,,,5
10461,1E+11,EPA100000098128,"Perdue Farms Inc., Showell, MD Processing Plant",Perdue Farms Incoporated,18-Jun-04,620728774,10048 Pitts Road,,Showell,MD,21862,WORCESTER,11232,Broilers and Other Meat Type Chicken Production,38.397778,-75.214996,2,OT,Other,335,1,1,0,,19-Mar-04,Hartford Steam Boiler Inspection Insurance Co.,7-Mar-05,3,3
10478,1E+11,EPA100000098538,Messer - Hopewell,"Messer North America, Inc.",6-Mar-19,0,221 South Hopewell Street,,Hopewell,VA,23860,HOPEWELL (CITY),32512,Industrial Gas Manufacturing,37.302223,-77.279724,2,CE,Center of Facility,6,1,0,0,,13-Jan-14,Zurich American,,,1
10577,1E+11,EPA100000100295,Kingspan Insulation LLC - Winchester Site,"Kingspan Group, plc",17-Dec-19,79603723,200 kingspan Way,,Winchester,VA,22603,FREDERICK,32614,Polystyrene Foam Product Manufacturing,39.212303,-78.140968,2,ST,Storage Tank,100,1,1,1,81095,15-Jan-08,OSHA,,,2
